Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,555.5040836334229
10,1703,3100,2131.264,65,1562.8008842468262
15,2026,4323,3041.108,1,2986.0472679138184
20,3439,6524,5051.201,1,5600.536823272705
25,4150,8210,6280.088,1,8574.673414230347
30,4872,9846,7743.891,1,12722.62191772461
35,6437,11597,8941.476,1,17750.131607055664
40,7084,13770,10237.909,1,33729.60090637207
45,9373,15479,12203.235,1,41807.80243873596
50,10161,16949,13533.9,1,52388.131856918335
